ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,Original_Data,Data_Quality,Data_Completeness,Temp_Range,Temp_StdDev,Has_Extreme_Values
1,"Afghanistan, Islamic Rep. of",AF,AFG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.113,-0.164,0.847,-0.764,-0.244,0.226,-0.371,-0.423,-0.539,0.813,0.619,-1.124,0.232,-0.489,-0.445,-0.286,0.513,0.129,0.361,0.6,0.483,-0.346,0.164,0.145,0.283,-0.141,0.391,0.919,-0.205,0.73,-0.168,-0.294,0.22,0.43,0.359,-0.116,0.471,0.675,1.198,0.993,1.311,1.365,0.587,1.373,0.401,1.72,0.675,0.704,0.895,1.613,1.397,0.223,1.281,0.456,1.093,1.555,1.54,1.544,0.91,0.498,1.327,2.012,"{'F1961': -0.113, 'F1962': -0.164, 'F1963': 0.847, 'F1964': -0.764, 'F1965': -0.244, 'F1966': 0.226, 'F1967': -0.371, 'F1968': -0.423, 'F1969': -0.539, 'F1970': 0.813, 'F1971': 0.619, 'F1972': -1.124, 'F1973': 0.232, 'F1974': -0.489, 'F1975': -0.445, 'F1976': -0.286, 'F1977': 0.513, 'F1978': 0.129, 'F1979': 0.361, 'F1980': 0.6, 'F1981': 0.483, 'F1982': -0.346, 'F1983': 0.164, 'F1984': 0.145, 'F1985': 0.283, 'F1986': -0.141, 'F1987': 0.391, 'F1988': 0.919, 'F1989': -0.205, 'F1990': 0.73, 'F1991': -0.168, 'F1992': -0.294, 'F1993': 0.22, 'F1994': 0.43, 'F1995': 0.359, 'F1996': -0.116, 'F1997': 0.471, 'F1998': 0.675, 'F1999': 1.198, 'F2000': 0.993, 'F2001': 1.311, 'F2002': 1.365, 'F2003': 0.587, 'F2004': 1.373, 'F2005': 0.401, 'F2006': 1.72, 'F2007': 0.675, 'F2008': 0.704, 'F2009': 0.895, 'F2010': 1.613, 'F2011': 1.397, 'F2012': 0.223, 'F2013': 1.281, 'F2014': 0.456, 'F2015': 1.093, 'F2016': 1.555, 'F2017': 1.54, 'F2018': 1.544, 'F2019': 0.91, 'F2020': 0.498, 'F2021': 1.327, 'F2022': 2.012}",Insufficient Data,1.0,3.136,0.6918266376121862,False
2,Albania,AL,ALB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.627,0.326,0.075,-0.166,-0.388,0.559,-0.074,0.081,-0.013,-0.106,-0.195,-0.069,-0.288,-0.139,-0.211,-0.683,0.545,-0.814,0.203,-0.414,-0.351,0.173,-0.128,-0.27,-0.103,0.569,-0.106,0.37,-0.066,0.795,-0.269,0.106,0.076,1.33,-0.172,-0.038,0.075,0.795,0.67,1.065,1.532,0.492,0.97,0.444,0.189,0.345,1.316,0.978,0.91,1.191,1.055,1.487,1.333,1.198,1.569,1.464,1.121,2.028,1.675,1.498,1.536,1.518,"{'F1961': 0.627, 'F1962': 0.326, 'F1963': 0.075, 'F1964': -0.166, 'F1965': -0.388, 'F1966': 0.559, 'F1967': -0.074, 'F1968': 0.081, 'F1969': -0.013, 'F1970': -0.106, 'F1971': -0.195, 'F1972': -0.069, 'F1973': -0.288, 'F1974': -0.139, 'F1975': -0.211, 'F1976': -0.683, 'F1977': 0.545, 'F1978': -0.814, 'F1979': 0.203, 'F1980': -0.414, 'F1981': -0.351, 'F1982': 0.173, 'F1983': -0.128, 'F1984': -0.27, 'F1985': -0.103, 'F1986': 0.569, 'F1987': -0.106, 'F1988': 0.37, 'F1989': -0.066, 'F1990': 0.795, 'F1991': -0.269, 'F1992': 0.106, 'F1993': 0.076, 'F1994': 1.33, 'F1995': -0.172, 'F1996': -0.038, 'F1997': 0.075, 'F1998': 0.795, 'F1999': 0.67, 'F2000': 1.065, 'F2001': 1.532, 'F2002': 0.492, 'F2003': 0.97, 'F2004': 0.444, 'F2005': 0.189, 'F2006': 0.345, 'F2007': 1.316, 'F2008': 0.978, 'F2009': 0.91, 'F2010': 1.191, 'F2011': 1.055, 'F2012': 1.487, 'F2013': 1.333, 'F2014': 1.198, 'F2015': 1.569, 'F2016': 1.464, 'F2017': 1.121, 'F2018': 2.028, 'F2019': 1.675, 'F2020': 1.498, 'F2021': 1.536, 'F2022': 1.518}",Insufficient Data,1.0,2.842,0.696393127969566,False
3,Algeria,DZ,DZA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.164,0.114,0.077,0.25,-0.1,0.433,-0.026,-0.067,0.291,0.116,-0.385,-0.348,-0.015,-0.503,-0.539,-0.782,0.504,0.012,0.654,0.232,0.215,0.399,0.56,-0.004,0.508,0.296,0.975,1.304,0.386,1.266,0.031,-0.312,0.552,0.732,0.595,0.846,1.059,1.109,1.476,0.82,1.856,1.258,1.585,0.988,1.264,1.395,1.22,1.185,0.945,2.265,1.398,1.147,1.192,1.69,1.121,1.757,1.512,1.21,1.115,1.926,2.33,1.688,"{'F1961': 0.164, 'F1962': 0.114, 'F1963': 0.077, 'F1964': 0.25, 'F1965': -0.1, 'F1966': 0.433, 'F1967': -0.026, 'F1968': -0.067, 'F1969': 0.291, 'F1970': 0.116, 'F1971': -0.385, 'F1972': -0.348, 'F1973': -0.015, 'F1974': -0.503, 'F1975': -0.539, 'F1976': -0.782, 'F1977': 0.504, 'F1978': 0.012, 'F1979': 0.654, 'F1980': 0.232, 'F1981': 0.215, 'F1982': 0.399, 'F1983': 0.56, 'F1984': -0.004, 'F1985': 0.508, 'F1986': 0.296, 'F1987': 0.975, 'F1988': 1.304, 'F1989': 0.386, 'F1990': 1.266, 'F1991': 0.031, 'F1992': -0.312, 'F1993': 0.552, 'F1994': 0.732, 'F1995': 0.595, 'F1996': 0.846, 'F1997': 1.059, 'F1998': 1.109, 'F1999': 1.476, 'F2000': 0.82, 'F2001': 1.856, 'F2002': 1.258, 'F2003': 1.585, 'F2004': 0.988, 'F2005': 1.264, 'F2006': 1.395, 'F2007': 1.22, 'F2008': 1.185, 'F2009': 0.945, 'F2010': 2.265, 'F2011': 1.398, 'F2012': 1.147, 'F2013': 1.192, 'F2014': 1.69, 'F2015': 1.121, 'F2016': 1.757, 'F2017': 1.512, 'F2018': 1.21, 'F2019': 1.115, 'F2020': 1.926, 'F2021': 2.33, 'F2022': 1.688}",Insufficient Data,1.0,3.112,0.7278738064800133,False
4,American Samoa,AS,ASM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.079,-0.042,0.169,-0.14,-0.562,0.181,-0.368,-0.187,0.132,-0.047,-0.477,-0.067,0.33,-0.308,-0.118,-0.177,0.156,0.092,0.341,0.35,0.179,0.28,0.313,0.277,0.256,0.394,0.354,0.509,0.143,0.497,0.641,0.344,-0.069,0.189,0.755,0.784,0.784,0.784,0.242,0.626,0.904,1.152,0.716,0.191,0.801,0.403,1.032,0.67,0.67,1.311,0.854,0.924,1.257,1.17,1.009,1.539,1.435,1.189,1.539,1.43,1.268,1.256,"{'F1961': 0.079, 'F1962': -0.042, 'F1963': 0.169, 'F1964': -0.14, 'F1965': -0.562, 'F1966': 0.181, 'F1967': -0.368, 'F1968': -0.187, 'F1969': 0.132, 'F1970': -0.047, 'F1971': -0.477, 'F1972': -0.067, 'F1973': 0.33, 'F1974': -0.308, 'F1975': -0.118, 'F1976': -0.177, 'F1977': 0.156, 'F1978': 0.092, 'F1979': 0.341, 'F1980': 0.35, 'F1981': 0.179, 'F1982': 0.28, 'F1983': 0.313, 'F1984': 0.277, 'F1985': 0.256, 'F1986': 0.394, 'F1987': 0.354, 'F1988': 0.509, 'F1989': 0.143, 'F1990': 0.497, 'F1991': 0.641, 'F1992': 0.344, 'F1993': -0.069, 'F1994': 0.189, 'F1995': 0.755, 'F1996': 0.784, 'F1997': nan, 'F1998': nan, 'F1999': 0.242, 'F2000': 0.626, 'F2001': 0.904, 'F2002': 1.152, 'F2003': 0.716, 'F2004': 0.191, 'F2005': 0.801, 'F2006': 0.403, 'F2007': 1.032, 'F2008': 0.67, 'F2009': nan, 'F2010': 1.311, 'F2011': 0.854, 'F2012': 0.924, 'F2013': 1.257, 'F2014': 1.17, 'F2015': 1.009, 'F2016': 1.539, 'F2017': 1.435, 'F2018': 1.189, 'F2019': 1.539, 'F2020': 1.43, 'F2021': 1.268, 'F2022': 1.256}",Insufficient Data,1.0,2.101,0.5319719869226565,False
5,"Andorra, Principality of",AD,AND,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.736,0.112,-0.752,0.308,-0.49,0.415,0.637,0.018,-0.137,0.121,-0.326,-0.499,0.025,-0.371,0.246,-0.045,-0.093,-0.163,0.058,-0.188,0.178,1.044,0.859,-0.157,0.059,0.387,0.397,0.883,1.162,1.736,0.231,0.386,0.174,1.508,1.279,0.57,1.788,1.018,1.055,1.05,1.48,0.835,1.949,0.936,0.851,1.485,1.024,0.946,1.413,0.471,1.677,1.265,0.831,1.946,1.69,1.99,1.925,1.919,1.964,2.562,1.533,3.243,"{'F1961': 0.736, 'F1962': 0.112, 'F1963': -0.752, 'F1964': 0.308, 'F1965': -0.49, 'F1966': 0.415, 'F1967': 0.637, 'F1968': 0.018, 'F1969': -0.137, 'F1970': 0.121, 'F1971': -0.326, 'F1972': -0.499, 'F1973': 0.025, 'F1974': -0.371, 'F1975': 0.246, 'F1976': -0.045, 'F1977': -0.093, 'F1978': -0.163, 'F1979': 0.058, 'F1980': -0.188, 'F1981': 0.178, 'F1982': 1.044, 'F1983': 0.859, 'F1984': -0.157, 'F1985': 0.059, 'F1986': 0.387, 'F1987': 0.397, 'F1988': 0.883, 'F1989': 1.162, 'F1990': 1.736, 'F1991': 0.231, 'F1992': 0.386, 'F1993': 0.174, 'F1994': 1.508, 'F1995': 1.279, 'F1996': 0.57, 'F1997': 1.788, 'F1998': 1.018, 'F1999': 1.055, 'F2000': 1.05, 'F2001': 1.48, 'F2002': 0.835, 'F2003': 1.949, 'F2004': 0.936, 'F2005': 0.851, 'F2006': 1.485, 'F2007': 1.024, 'F2008': 0.946, 'F2009': 1.413, 'F2010': 0.471, 'F2011': 1.677, 'F2012': 1.265, 'F2013': 0.831, 'F2014': 1.946, 'F2015': 1.69, 'F2016': 1.99, 'F2017': 1.925, 'F2018': 1.919, 'F2019': 1.964, 'F2020': 2.562, 'F2021': 1.533, 'F2022': 3.243}",Insufficient Data,1.0,3.995,0.8397701839937565,True
6,Angola,AO,AGO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.041,-0.152,-0.19,-0.229,-0.196,0.175,-0.081,-0.193,0.188,0.248,-0.097,-0.035,0.475,-0.158,-0.029,-0.313,0.272,0.037,0.291,0.279,-0.071,0.164,0.487,0.631,0.694,0.176,0.689,0.572,-0.055,0.687,0.341,0.466,0.256,0.212,0.753,0.37,0.107,1.064,0.417,0.169,0.295,0.735,0.889,0.414,1.021,0.561,0.885,0.501,0.708,1.194,0.88,0.552,1.044,0.828,1.331,1.609,0.87,1.395,1.752,1.162,1.553,1.212,"{'F1961': 0.041, 'F1962': -0.152, 'F1963': -0.19, 'F1964': -0.229, 'F1965': -0.196, 'F1966': 0.175, 'F1967': -0.081, 'F1968': -0.193, 'F1969': 0.188, 'F1970': 0.248, 'F1971': -0.097, 'F1972': -0.035, 'F1973': 0.475, 'F1974': -0.158, 'F1975': -0.029, 'F1976': -0.313, 'F1977': 0.272, 'F1978': 0.037, 'F1979': 0.291, 'F1980': 0.279, 'F1981': -0.071, 'F1982': 0.164, 'F1983': 0.487, 'F1984': 0.631, 'F1985': 0.694, 'F1986': 0.176, 'F1987': 0.689, 'F1988': 0.572, 'F1989': -0.055, 'F1990': 0.687, 'F1991': 0.341, 'F1992': 0.466, 'F1993': 0.256, 'F1994': 0.212, 'F1995': 0.753, 'F1996': 0.37, 'F1997': 0.107, 'F1998': 1.064, 'F1999': 0.417, 'F2000': 0.169, 'F2001': 0.295, 'F2002': 0.735, 'F2003': 0.889, 'F2004': 0.414, 'F2005': 1.021, 'F2006': 0.561, 'F2007': 0.885, 'F2008': 0.501, 'F2009': 0.708, 'F2010': 1.194, 'F2011': 0.88, 'F2012': 0.552, 'F2013': 1.044, 'F2014': 0.828, 'F2015': 1.331, 'F2016': 1.609, 'F2017': 0.87, 'F2018': 1.395, 'F2019': 1.752, 'F2020': 1.162, 'F2021': 1.553, 'F2022': 1.212}",Insufficient Data,1.0,2.065,0.5060787779666291,False
7,Anguilla,AI,AIA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.086,-0.024,0.234,0.189,-0.365,-0.001,-0.257,-0.2,0.317,0.082,-0.269,-0.179,0.17,-0.37,-0.334,-0.426,0.096,0.13,0.034,0.698,0.532,0.097,0.524,0.105,0.006,0.013,0.569,0.457,-0.002,0.432,0.441,0.365,0.535,0.575,0.651,0.35,0.459,1.06,0.532,0.264,0.587,0.706,0.816,0.521,0.828,0.691,0.957,0.411,0.566,1.09,0.489,0.64,0.77,0.814,1.051,1.125,0.96,0.664,0.843,1.224,0.893,0.839,"{'F1961': 0.086, 'F1962': -0.024, 'F1963': 0.234, 'F1964': 0.189, 'F1965': -0.365, 'F1966': -0.001, 'F1967': -0.257, 'F1968': -0.2, 'F1969': 0.317, 'F1970': 0.082, 'F1971': -0.269, 'F1972': -0.179, 'F1973': 0.17, 'F1974': -0.37, 'F1975': -0.334, 'F1976': -0.426, 'F1977': 0.096, 'F1978': 0.13, 'F1979': 0.034, 'F1980': 0.698, 'F1981': 0.532, 'F1982': 0.097, 'F1983': 0.524, 'F1984': 0.105, 'F1985': 0.006, 'F1986': 0.013, 'F1987': 0.569, 'F1988': 0.457, 'F1989': -0.002, 'F1990': 0.432, 'F1991': 0.441, 'F1992': 0.365, 'F1993': 0.535, 'F1994': 0.575, 'F1995': 0.651, 'F1996': 0.35, 'F1997': 0.459, 'F1998': 1.06, 'F1999': 0.532, 'F2000': 0.264, 'F2001': 0.587, 'F2002': 0.706, 'F2003': 0.816, 'F2004': 0.521, 'F2005': 0.828, 'F2006': 0.691, 'F2007': 0.957, 'F2008': 0.411, 'F2009': 0.566, 'F2010': 1.09, 'F2011': 0.489, 'F2012': 0.64, 'F2013': 0.77, 'F2014': 0.814, 'F2015': 1.051, 'F2016': 1.125, 'F2017': 0.96, 'F2018': 0.664, 'F2019': 0.843, 'F2020': 1.224, 'F2021': 0.893, 'F2022': 0.839}",Insufficient Data,1.0,1.65,0.41983232941597654,False
8,Antigua and Barbuda,AG,ATG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.09,0.031,0.288,0.214,-0.385,0.097,-0.192,-0.225,0.271,0.109,-0.233,-0.214,0.164,-0.377,-0.419,-0.467,0.076,0.161,0.16,0.646,0.564,0.162,0.489,0.009,-0.051,-0.023,0.649,0.395,-0.077,0.417,0.459,0.445,0.528,0.493,0.677,0.377,0.455,1.046,0.541,0.335,0.335,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862,0.77,"{'F1961': 0.09, 'F1962': 0.031, 'F1963': 0.288, 'F1964': 0.214, 'F1965': -0.385, 'F1966': 0.097, 'F1967': -0.192, 'F1968': -0.225, 'F1969': 0.271, 'F1970': 0.109, 'F1971': -0.233, 'F1972': -0.214, 'F1973': 0.164, 'F1974': -0.377, 'F1975': -0.419, 'F1976': -0.467, 'F1977': 0.076, 'F1978': 0.161, 'F1979': 0.16, 'F1980': 0.646, 'F1981': 0.564, 'F1982': 0.162, 'F1983': 0.489, 'F1984': 0.009, 'F1985': -0.051, 'F1986': -0.023, 'F1987': 0.649, 'F1988': 0.395, 'F1989': -0.077, 'F1990': 0.417, 'F1991': 0.459, 'F1992': 0.445, 'F1993': 0.528, 'F1994': 0.493, 'F1995': 0.677, 'F1996': 0.377, 'F1997': 0.455, 'F1998': 1.046, 'F1999': 0.541, 'F2000': 0.335, 'F2001': nan, 'F2002': 0.634, 'F2003': 0.783, 'F2004': 0.501, 'F2005': 0.843, 'F2006': 0.659, 'F2007': 0.934, 'F2008': 0.394, 'F2009': 0.498, 'F2010': 1.153, 'F2011': 0.586, 'F2012': 0.696, 'F2013': 0.783, 'F2014': 0.744, 'F2015': 1.035, 'F2016': 1.097, 'F2017': 0.958, 'F2018': 0.627, 'F2019': 0.797, 'F2020': 1.131, 'F2021': 0.862, 'F2022': 0.77}",Insufficient Data,1.0,1.62,0.41408519300386115,False
9,Argentina,AR,ARG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.122,-0.046,0.162,-0.343,0.09,-0.163,0.0,0.472,0.292,0.438,-0.26,-0.008,-0.139,-0.106,-0.021,-0.321,0.432,0.362,0.266,0.373,0.378,0.359,0.046,-0.1,0.308,0.46,0.446,-0.192,0.611,0.436,0.261,-0.261,0.086,0.487,0.259,0.512,0.759,0.351,0.16,-0.186,0.425,0.278,0.635,0.47,0.281,0.596,-0.169,0.601,0.857,0.135,0.386,0.798,0.442,0.951,0.957,0.488,1.095,0.878,0.76,1.123,1.031,0.643,"{'F1961': 0.122, 'F1962': -0.046, 'F1963': 0.162, 'F1964': -0.343, 'F1965': 0.09, 'F1966': -0.163, 'F1967': 0.0, 'F1968': 0.472, 'F1969': 0.292, 'F1970': 0.438, 'F1971': -0.26, 'F1972': -0.008, 'F1973': -0.139, 'F1974': -0.106, 'F1975': -0.021, 'F1976': -0.321, 'F1977': 0.432, 'F1978': 0.362, 'F1979': 0.266, 'F1980': 0.373, 'F1981': 0.378, 'F1982': 0.359, 'F1983': 0.046, 'F1984': -0.1, 'F1985': 0.308, 'F1986': 0.46, 'F1987': 0.446, 'F1988': -0.192, 'F1989': 0.611, 'F1990': 0.436, 'F1991': 0.261, 'F1992': -0.261, 'F1993': 0.086, 'F1994': 0.487, 'F1995': 0.259, 'F1996': 0.512, 'F1997': 0.759, 'F1998': 0.351, 'F1999': 0.16, 'F2000': -0.186, 'F2001': 0.425, 'F2002': 0.278, 'F2003': 0.635, 'F2004': 0.47, 'F2005': 0.281, 'F2006': 0.596, 'F2007': -0.169, 'F2008': 0.601, 'F2009': 0.857, 'F2010': 0.135, 'F2011': 0.386, 'F2012': 0.798, 'F2013': 0.442, 'F2014': 0.951, 'F2015': 0.957, 'F2016': 0.488, 'F2017': 1.095, 'F2018': 0.878, 'F2019': 0.76, 'F2020': 1.123, 'F2021': 1.031, 'F2022': 0.643}",Insufficient Data,1.0,1.466,0.3694575185479842,False
10,"Armenia, Rep. of",AM,ARM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-1.31,-0.932,0.481,0.697,0.47,0.599,1.316,1.488,1.031,1.395,1.194,0.141,1.162,0.48,1.621,0.706,0.861,0.706,2.775,0.65,1.247,1.407,1.283,1.931,1.356,0.889,2.772,1.859,1.954,2.087,1.707,"{'F1961': nan, 'F1962': nan, 'F1963': nan, 'F1964': nan, 'F1965': nan, 'F1966': nan, 'F1967': nan, 'F1968': nan, 'F1969': nan, 'F1970': nan, 'F1971': nan, 'F1972': nan, 'F1973': nan, 'F1974': nan, 'F1975': nan, 'F1976': nan, 'F1977': nan, 'F1978': nan, 'F1979': nan, 'F1980': nan, 'F1981': nan, 'F1982': nan, 'F1983': nan, 'F1984': nan, 'F1985': nan, 'F1986': nan, 'F1987': nan, 'F1988': nan, 'F1989': nan, 'F1990': nan, 'F1991': nan, 'F1992': -1.31, 'F1993': -0.932, 'F1994': 0.481, 'F1995': 0.697, 'F1996': 0.47, 'F1997': 0.599, 'F1998': 1.316, 'F1999': 1.488, 'F2000': 1.031, 'F2001': 1.395, 'F2002': 1.194, 'F2003': 0.141, 'F2004': 1.162, 'F2005': 0.48, 'F2006': 1.621, 'F2007': 0.706, 'F2008': 0.861, 'F2009': 0.706, 'F2010': 2.775, 'F2011': 0.65, 'F2012': 1.247, 'F2013': 1.407, 'F2014': 1.283, 'F2015': 1.931, 'F2016': 1.356, 'F2017': 0.889, 'F2018': 2.772, 'F2019': 1.859, 'F2020': 1.954, 'F2021': 2.087, 'F2022': 1.707}",Insufficient Data,1.0,4.085,1.3587418805220943,False
